Threshold,Accuracy,Precision,Recall,Specificity,Negative Predictive Value,F1 Score,Balanced Accuracy,ROC AUC,PR AUC,Matthews Correlation Coefficient,Log Loss,True Negatives,False Positives,False Negatives,True Positives,False Positive Rate,False Negative Rate
0.5399999999999998,0.8383467278989667,0.7621885157096425,0.5921717171717171,0.9306915061572466,0.8588286713286714,0.6665087636191378,0.7614316116644819,0.9050400994472673,0.7881839093508949,0.5698307188609076,0.3399088602122364,5895,439,969,1407,0.0693084938427534,0.4078282828282828
0.5499999999999998,0.8360505166475316,0.7639198218262806,0.5774410774410774,0.9330596779286391,0.8547873879085912,0.6577181208053692,0.7552503776848583,0.9050400994472673,0.7881839093508949,0.5620057810399656,0.3399088602122364,5910,424,1004,1372,0.06694032207136091,0.4225589225589226
0.5599999999999997,0.8361653272101033,0.7712978845054317,0.5677609427609428,0.936848752762867,0.852463726476081,0.654060606060606,0.752304847761905,0.9050400994472673,0.7881839093508949,0.5610313329902549,0.3399088602122364,5934,400,1027,1349,0.06315124723713293,0.43223905723905726
0.5699999999999997,0.8350172215843857,0.7769911504424779,0.5542929292929293,0.9403220713609094,0.8490377761938703,0.6470154753131908,0.7473075003269194,0.9050400994472673,0.7881839093508949,0.5564560161931572,0.3399088602122364,5956,378,1059,1317,0.05967792863909062,0.4457070707070707
0.5799999999999997,0.8347876004592423,0.7848024316109422,0.5433501683501684,0.9441111461951374,0.8464260438782731,0.6421288236757026,0.7437306572726529,0.9050400994472673,0.7881839093508949,0.5547066453905183,0.3399088602122364,5980,354,1085,1291,0.055888853804862644,0.45664983164983164
0.5899999999999997,0.8321469575200918,0.788510101010101,0.5256734006734006,0.9471108304389012,0.8418467583497053,0.6308080808080808,0.7363921155561509,0.9050400994472673,0.7881839093508949,0.5459146298449891,0.3399088602122364,5999,335,1127,1249,0.052889169561098834,0.4743265993265993
0.5999999999999998,0.8308840413318025,0.7949052906596995,0.5122053872053872,0.9504262709188507,0.8385569020754979,0.6229843869976964,0.7313158290621189,0.9050400994472673,0.7881839093508949,0.5413498541461889,0.3399088602122364,6020,314,1159,1217,0.049573729081149355,0.4877946127946128
0.6099999999999998,0.8295063145809415,0.8004045853000674,0.49957912457912457,0.9532680770445217,0.8354780683547807,0.6151852811609225,0.7264236008118231,0.9050400994472673,0.7881839093508949,0.5366168840696462,0.3399088602122364,6038,296,1189,1187,0.04673192295547837,0.5004208754208754
0.6199999999999998,0.8291618828932262,0.8109243697478992,0.48737373737373735,0.9573729081149353,0.8327382587201319,0.6088328075709779,0.7223733227443363,0.9050400994472673,0.7881839093508949,0.5350390591700559,0.3399088602122364,6064,270,1218,1158,0.04262709188506473,0.5126262626262627
0.6299999999999997,0.8282433983926522,0.8225806451612904,0.4722222222222222,0.9617934954215346,0.8292948543424993,0.6,0.7170078588218785,0.9050400994472673,0.7881839093508949,0.5319062067052045,0.3399088602122364,6092,242,1254,1122,0.038206504578465424,0.5277777777777778
